,RGBI_anom,RGBI_cp
251,2021-12-30,
252,2022-01-03,
253,2022-01-06,
254,2022-01-10,
255,2022-01-14,
256,2022-01-19,
257,2022-01-28,
258,2022-02-14,
259,2022-02-24,
260,2022-02-25,
261,2022-05-25,
262,2022-05-26,
263,2022-07-22,
264,2022-09-21,
265,2022-09-26,
266,2022-09-27,
267,2022-11-02,
268,2022-11-10,
269,2022-11-17,
270,2022-12-19,
271,2023-01-03,
272,2023-01-09,
