index,Value
2009-01-11,13.35
2009-01-12,13.35
2009-01-13,13.35
2009-01-14,13.35
2009-01-15,13.35
2009-01-16,13.35
2009-01-19,13.35
2009-01-20,13.35
2009-01-21,13.35
2009-01-22,13.35
2009-01-23,13.35
2009-01-26,13.35
2009-01-27,13.35
2009-01-28,13.35
2009-01-29,13.35
2009-01-30,13.35
2009-01-31,13.35
2009-02-02,13.375
2009-02-03,13.4
2009-02-04,13.425
2009-02-05,13.450000000000001
2009-02-06,13.475000000000001
2009-02-09,13.500000000000002
2009-02-10,13.525000000000002
2009-02-11,13.550000000000002
2009-02-12,13.575000000000003
2009-02-13,13.600000000000003
2009-02-16,13.625000000000004
2009-02-17,13.650000000000004
2009-02-18,13.675000000000004
2009-02-19,13.700000000000005
2009-02-20,13.725000000000005
2009-02-24,13.750000000000005
2009-02-25,13.775000000000006
2009-02-26,13.800000000000006
2009-02-27,13.825000000000006
2009-02-28,13.850000000000007
2009-03-02,13.856190476190482
2009-03-03,13.862380952380958
2009-03-04,13.868571428571434
2009-03-05,13.87476190476191
2009-03-06,13.880952380952385
2009-03-10,13.88714285714286
2009-03-11,13.893333333333336
2009-03-12,13.899523809523812
2009-03-13,13.905714285714287
2009-03-16,13.911904761904763
2009-03-17,13.918095238095239
2009-03-18,13.924285714285714
2009-03-19,13.93047619047619
2009-03-20,13.936666666666666
2009-03-23,13.942857142857141
2009-03-24,13.949047619047617
2009-03-25,13.955238095238093
2009-03-26,13.961428571428568
2009-03-27,13.967619047619044
2009-03-30,13.97380952380952
2009-03-31,13.979999999999995
2009-04-01,13.942727272727268
2009-04-02,13.90545454545454
2009-04-03,13.868181818181814
2009-04-06,13.830909090909087
2009-04-07,13.79363636363636
2009-04-08,13.756363636363632
2009-04-09,13.719090909090905
2009-04-10,13.681818181818178
2009-04-13,13.644545454545451
2009-04-14,13.607272727272724
2009-04-15,13.569999999999997
2009-04-16,13.53272727272727
2009-04-17,13.495454545454542
2009-04-20,13.458181818181815
2009-04-21,13.420909090909088
2009-04-22,13.383636363636361
2009-04-23,13.346363636363634
2009-04-24,13.309090909090907
2009-04-27,13.27181818181818
2009-04-28,13.234545454545453
2009-04-29,13.197272727272725
2009-04-30,13.159999999999998
2009-05-04,13.115999999999998
2009-05-05,13.071999999999997
2009-05-06,13.027999999999997
2009-05-07,12.983999999999996
2009-05-08,12.939999999999996
2009-05-12,12.895999999999995
2009-05-13,12.851999999999995
2009-05-14,12.807999999999995
2009-05-15,12.763999999999994
2009-05-18,12.719999999999994
2009-05-19,12.675999999999993
2009-05-20,12.631999999999993
2009-05-21,12.587999999999992
2009-05-22,12.543999999999992
2009-05-25,12.499999999999991
2009-05-26,12.45599999999999
2009-05-27,12.41199999999999
2009-05-28,12.36799999999999
2009-05-29,12.32399999999999
2009-05-31,12.279999999999989
2009-06-01,12.26047619047618
2009-06-02,12.24095238095237
2009-06-03,12.22142857142856
2009-06-04,12.201904761904752
2009-06-05,12.182380952380942
2009-06-08,12.162857142857133
2009-06-09,12.143333333333324
2009-06-10,12.123809523809514
2009-06-11,12.104285714285705
2009-06-15,12.084761904761896
2009-06-16,12.065238095238087
2009-06-17,12.045714285714277
2009-06-18,12.026190476190468
2009-06-19,12.006666666666659
2009-06-22,11.98714285714285
2009-06-23,11.96761904761904
2009-06-24,11.948095238095231
2009-06-25,11.928571428571422
2009-06-26,11.909047619047612
2009-06-29,11.889523809523803
2009-06-30,11.869999999999994
2009-07-01,11.876086956521734
2009-07-02,11.882173913043474
2009-07-03,11.888260869565213
2009-07-06,11.894347826086953
2009-07-07,11.900434782608693
2009-07-08,11.906521739130433
2009-07-09,11.912608695652173
2009-07-10,11.918695652173913
2009-07-13,11.924782608695653
2009-07-14,11.930869565217392
2009-07-15,11.936956521739132
2009-07-16,11.943043478260872
2009-07-17,11.949130434782612
2009-07-20,11.955217391304352
2009-07-21,11.961304347826092
2009-07-22,11.967391304347831
2009-07-23,11.973478260869571
2009-07-24,11.979565217391311
2009-07-27,11.985652173913051
2009-07-28,11.991739130434791
2009-07-29,11.99782608695653
2009-07-30,12.00391304347827
2009-07-31,12.01000000000001
2009-08-03,11.990476190476201
2009-08-04,11.970952380952392
2009-08-05,11.951428571428583
2009-08-06,11.931904761904773
2009-08-07,11.912380952380964
2009-08-10,11.892857142857155
2009-08-11,11.873333333333346
2009-08-12,11.853809523809536
2009-08-13,11.834285714285727
2009-08-14,11.814761904761918
2009-08-17,11.795238095238108
2009-08-18,11.7757142857143
2009-08-19,11.75619047619049
2009-08-20,11.73666666666668
2009-08-21,11.717142857142871
2009-08-24,11.697619047619062
2009-08-25,11.678095238095253
2009-08-26,11.658571428571443
2009-08-27,11.639047619047634
2009-08-28,11.619523809523825
2009-08-31,11.600000000000016
2009-09-01,11.55863636363638
2009-09-02,11.517272727272744
2009-09-03,11.475909090909107
2009-09-04,11.434545454545471
2009-09-07,11.393181818181835
2009-09-08,11.3518181818182
2009-09-09,11.310454545454563
2009-09-10,11.269090909090927
2009-09-11,11.227727272727291
2009-09-14,11.186363636363655
2009-09-15,11.14500000000002
2009-09-16,11.103636363636383
2009-09-17,11.062272727272747
2009-09-18,11.020909090909111
2009-09-21,10.979545454545475
2009-09-22,10.938181818181839
2009-09-23,10.896818181818203
2009-09-24,10.855454545454567
2009-09-25,10.81409090909093
2009-09-28,10.772727272727295
2009-09-29,10.731363636363659
2009-09-30,10.690000000000023
2009-10-01,10.646521739130458
2009-10-02,10.603043478260894
2009-10-05,10.559565217391329
2009-10-06,10.516086956521765
